id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,1,1_37,1_(33-37),85,90,141,161,1_33,110.01075268817205,713.9966902747968,824.0074429629689,671.9966895269088,713.9966902747968
40,COMP_M,13,13_170,13_(168-170),352,337,169,136,13_168,36.142191142191145,714.0328245674167,750.1750157096078,657.0328232128159,714.0328245674167
4,COMP_M,8,8_122,8_(117-122),234,242,134,197,8_117,206.88581314878894,715.7688341748852,922.6546473236742,638.7688309881166,715.7688341748852
12,COMP_M,12,12_156,12_(150-156),301,309,43,179,12_150,101.42512077294685,717.4364550550263,818.8615758279732,624.4364522926537,717.4364550550263
40,COMP_M,13,13_171,13_(168-171),352,340,169,128,13_168,119.16885964912281,718.0328246005084,837.2016842496313,657.0328232128159,718.0328246005084
12,COMP_M,12,12_159,12_(150-159),301,313,43,82,12_150,120.97333333333333,720.4364553503294,841.4097886836628,624.4364522926537,720.4364553503294
43,COMP_M,4,4_68,4_(63-68),159,145,194,154,4_63,93.71875,722.4982838620659,816.2170338620659,613.4982817869416,722.4982838620659
43,COMP_M,4,4_72,4_(63-72),159,155,194,152,4_63,82.54609929078015,722.4982847690719,805.0443840598521,613.4982817869416,722.4982847690719
2,COMP_M,3,3_58,3_(53-58),119,129,20,155,3_53,59.84073107049608,724.5206135114524,784.3613445819485,668.5206099503146,724.5206135114524
2,COMP_M,3,3_56,3_(53-56),119,125,20,133,3_53,21.436034115138593,726.4982839442958,747.9343180594344,668.5206099503146,726.4982839442958
2,COMP_M,3,3_57,3_(53-57),119,127,20,194,3_53,58.3241695303551,726.5206126461813,784.8447821765365,668.5206099503146,726.5206126461813
26,COMP_M,5,5_77,5_(75-77),165,162,195,26,5_75,72.9171270718232,730.2697891784861,803.1869162503093,520.5395683453237,730.2697891784861
25,COMP_M,18,18_232,18_(230-232),455,459,188,10,18_230,113.7481662591687,734.0523764593294,847.800542718498,689.0523741295503,734.0523764593294
